a_age,a_gender,a_race
22,M,Black or African American
25,M,Black or African American
14,M,Black or African American
23,M,Black or African American
19,F,Black or African American
43,F,Black or African American
32,F,Black or African American
20,M,Black or African American
18,M,Black or African American
18,M,Black or African American
18,M,Black or African American
33,M,Black or African American
33,F,Black or African American
21,M,Black or African American
32,M,Black or African American
34,M,Black or African American
34,M,Black or African American
19,M,Black or African American
19,M,Black or African American
19,M,Black or African American
19,M,Black or African American
20,M,Black or African American
41,M,Black or African American
34,M,Black or African American
21,M,White
61,M,White
28,M,Black or African American
28,M,Black or African American
23,M,Black or African American
24,M,Black or African American
19,M,Black or African American
19,M,Black or African American
19,M,Black or African American
19,M,Black or African American
19,M,Black or African American
19,M,Black or African American
17,M,Black or African American
17,M,Black or African American
17,M,Black or African American
17,M,Black or African American
17,M,Black or African American
17,M,Black or African American
17,M,Black or African American
17,M,Black or African American
17,M,Black or African American
17,M,Black or African American
17,M,Black or African American
17,M,Black or African American
19,M,Black or African American
63,M,White
63,M,White
63,M,White
63,M,White
54,M,White
29,M,White
20,M,White
25,M,Black or African American
27,M,White
51,M,White
61,M,White
66,M,Black or African American
24,M,Black or African American
17,M,Black or African American
20,M,Black or African American
20,M,Black or African American
22,M,Black or African American
41,M,Black or African American
41,M,Black or African American
24,M,White
18,M,Black or African American
18,M,Black or African American
45,M,White
44,M,White
27,M,Black or African American
17,M,Black or African American
17,M,Black or African American
17,M,Black or African American
17,M,Black or African American
16,M,Black or African American
16,M,Black or African American
19,M,Black or African American
51,M,White
28,M,White
29,M,White
29,M,White
29,M,White
29,M,White
29,M,White
29,M,White
29,M,White
29,M,White
29,M,White
29,M,White
29,M,White
29,M,White
29,M,White
29,M,White
29,M,White
29,M,White
29,M,White
29,M,White
29,M,White
29,M,White
29,M,White
29,M,White
29,M,White
36,M,White
18,M,Black or African American
19,M,Asian
19,M,Black or African American
30,M,Black or African American
25,F,White
42,F,Black or African American
42,F,Black or African American
42,F,Black or African American
17,M,Black or African American
58,M,White
64,M,White
24,M,White
22,M,Black or African American
44,M,White
36,M,Black or African American
22,M,Black or African American
26,M,Black or African American
30,M,Black or African American
40,M,Black or African American
20,M,Black or African American
30,M,White
25,F,Black or African American
20,M,Black or African American
25,F,White
33,M,Black or African American
27,M,White
50,M,Black or African American
32,F,White
33,M,Black or African American
33,M,Black or African American
33,M,Black or African American
52,M,Black or African American
27,F,Black or African American
